headline,category,short_description,links
4 million americans roll sleeve omicron target covid booster,u.s news,health expert say early predict demand match 171 million dose new booster u.s order fall,https://www.huffpost.com/entry/covid-boosters-uptake-us_n_632d719ee4b087fae6feaac9
american airlines flyer charge ban life punch flight attendant video,u.s news,subdue passenger crew flee aircraft confrontation accord u.s attorney office los angeles,https://www.huffpost.com/entry/american-airlines-passenger-banned-flight-attendant-punch-justice-department_n_632e25d3e4b0e247890329fe
23 funniest tweet cat dog week sept 17 23,comedy,dog understand eat,https://www.huffpost.com/entry/funniest-tweets-cats-dogs-september-17-23_n_632de332e4b0695c1d81dc02
funniest tweet parent week sept 17 23,parenting,accidentally grow toothpaste toddler toothbrush scream like clean tooth carolina reaper dip tabasco sauce,https://www.huffpost.com/entry/funniest-parenting-tweets_l_632d7d15e4b0d12b5403e479
woman call cop black bird watcher lose lawsuit ex employer,u.s news,amy cooper accuse investment firm franklin templeton unfairly fire brand racist video central park encounter go viral,https://www.huffpost.com/entry/amy-cooper-loses-discrimination-lawsuit-franklin-templeton_n_632c6463e4b09d8701bd227e
clean dead belk bathroom 4 day body find police,u.s news,63 year old woman see work south carolina store thursday find dead monday family report miss authority say,https://www.huffpost.com/entry/belk-worker-found-dead-columbiana-centre-bathroom_n_632c5f8ce4b0572027b0251d
reporter get adorable surprise boyfriend live tv,u.s news,anchor new york pix11 ask journalist michelle ross finish interview,https://www.huffpost.com/entry/reporter-gets-adorable-surprise-from-her-boyfriend-while-working-live-on-tv_n_632ccf43e4b0572027b10d74
puerto ricans desperate water hurricane fiona rampage,world news,half million people remain water service day storm lash u.s territory,https://www.huffpost.com/entry/puerto-rico-water-hurricane-fiona_n_632bdfd8e4b0d12b54014e13
new documentary capture complexity child immigrant,culture art,mija director isabel castro combine music documentary style euphoria clueless tell nuanced immigration story,https://www.huffpost.com/entry/mija-documentary-immigration-isabel-castro-interview_n_632329aee4b000d98858dbda
biden un russian war affront body charter,world news,white house official crux president visit u.n year throate condemnation russia brutal war,https://www.huffpost.com/entry/biden-un-russian-war-an-affront-to-bodys-charter_n_632ad9e3e4b0bfdf5e1bf5f7
world cup captain want wear rainbow armband qatar,world news,fifa come pressure european soccer federation want support human right campaign discrimination world cup,https://www.huffpost.com/entry/bc-soc-wcup-captains-armbands_n_632b1c98e4b0913a3dd7554a
man set fire apparent protest funeral japan abe,world news,incident underscore grow wave protest funeral shinzo abe divisive leader postwar japanese politic,https://www.huffpost.com/entry/man-sets-fire-protest-abe-funeral_n_632ae462e4b07198f0146afd
fiona threaten category 4 storm head bermuda,world news,hurricane fiona lash turk caicos island forecast squeeze past bermuda later week,https://www.huffpost.com/entry/fiona-threatens-to-become-category-4-storm-headed-to-bermuda_n_632ad1cae4b07198f0143244
"twitch ban gamble site streamer scam folk $ 200,000",tech,man claim scamme people platform cause popular streamer consider twitch boycott,https://www.huffpost.com/entry/twitch-streamers-threaten-strike-gambling_n_632a72bce4b0cd3ec2628b20
virginia thomas agree interview jan 6 panel,u.s news,conservative activist virginia thomas wife supreme court justice clarence thomas agree participate voluntary interview house panel investigate jan 6 insurrection,https://www.huffpost.com/entry/virginia-thomas-agrees-to-interview-with-jan-6-panel_n_632ba0f2e4b09d8701bbe16d
russian cosmonaut valery polyakov break record 437 day stay space die 80,world news,"polyakov record break trip outer space see orbit earth 7,075 time travel nearly 187 million mile",https://www.huffpost.com/entry/valery-polyakov-dies_n_6329d497e4b0913a3dd5336c
reboot clever navel gazey look inside tv reboot,culture art,star keegan michael key judy greer johnny knoxville hulu follow revival fictional early 2000s sitcom,https://www.huffpost.com/entry/hulu-reboot-should-you-watch-it_n_6324a099e4b0eac9f4e18b46
maury will base steal shortstop dodger die 89,sport,maury will help los angeles dodger win world series title base steal prowess die,https://www.huffpost.com/entry/dodgers-baseball-obit-wills_n_6329feb3e4b07198f0134500
4 russian control ukrainian region schedule vote week join russia,world news,concerted quicken kremlin back effort swallow region set stage moscow escalate war,https://www.huffpost.com/entry/russian-controlled-ukrainian-regions-referendum_n_6329d53ae4b07198f012f023
fiona barrel turk caicos island category 3 hurricane,world news,turk caico island government impose curfew intensifying storm keep drop copious rain dominican republic puerto rico,https://www.huffpost.com/entry/hurricane-fiona-barrels-toward-turks-and-caicos-islands_n_63298597e4b0ed991abcacf9
golden globe return nbc january year air,entertainment,past 18 month hollywood effectively boycott globe report hfpa 87 member non american journalist include black member,https://www.huffpost.com/entry/golden-globes-return-nbc_n_6329f151e4b0ed991abda7f3
biden say u.s force defend taiwan china invade,politic,president issue vow tension china rise,https://www.huffpost.com/entry/biden-us-forces-defend-taiwan-against-china_n_6327ec68e4b0ed021dfe3695
hurricane fiona bear dominican republic pound puerto rico,world news,storm knock power grid unleashed flood landslide puerto rico governor say damage catastrophic,https://www.huffpost.com/entry/hurricane-fiona_n_63281718e4b0ed021dfe4ff0
dead plane crash reno air race,u.s news,single engine plane participate national championship air race sunday crash field kill pilot official say,https://www.huffpost.com/entry/national-championship-air-races-pilot-killed-crash_n_632860fae4b0ed021dfef140
beautiful sad time ukrainian cultural festival take deep meaning year,politic,annual celebration take different feel russia invasion drag day 206,https://www.huffpost.com/entry/ukraine-festival_n_6327b4a0e4b082746beb52c7
family american hold afghanistan say free taliban prisoner swap,u.s news,mark frerich navy veteran civilian contractor kidnap afghanistan january 2020,https://www.huffpost.com/entry/mark-frerichs-release-us-taliban-prisoner-swap_n_63284bb2e4b000d9885d510b
las vegas aces win wnba title chelsea gray name mvp,sport,las vegas professional sport champion sunday,https://www.huffpost.com/entry/2022-wnba-finals_n_6327f56fe4b0eac9f4e3144d
world leader pay respect queen elizabeth ii,world news,president joe biden lady jill biden thousand mourner local tourist royal world leader pay respect,https://www.huffpost.com/entry/queen-elizabeth-ii-world-leaders-funeral_n_63271396e4b046aa02404259
james cameron say clash studio avatar release,entertainment,avatar director say aspect 2009 movie competitive day,https://www.huffpost.com/entry/james-cameron-fought-studio-avatar_n_63268723e4b046aa02400678
french spider man celebrate 60th birthday massive skyscraper climb,weird news,alain robert know french spider man climb burj khalifa empire state building,https://www.huffpost.com/entry/french-spiderman-birthday-skyscraper-climb_n_6326a369e4b082746beadd58
biden say queen death leave giant hole royal family,politic,u.s president joe biden london funeral queen elizabeth ii say heart go royal family add queen death leave giant hole,https://www.huffpost.com/entry/europe-britain-royals-biden_n_63276eabe4b046aa02406a13
watchdog report find census taker fudge 2020 datum fire,u.s news,despite enter false information work redone fully case census taker receive bonus office inspector general report,https://www.huffpost.com/entry/2020-census-falsified-inspector-general-finds_n_63277879e4b046aa02406f26
public global database fossil fuel launch,environment,monday world public database fossil fuel production reserve emission launch,https://www.huffpost.com/entry/oil-gas-coal-reserves-database_n_6327a81ae4b0eac9f4e2fd23
man charge expose mourner wait view queen elizabeth,world news,19 year old reportedly flee thame fail bid escape police,https://www.huffpost.com/entry/man-arrested-exposure-assault-queens-mourners-london_n_63254f41e4b0ed021dfd40a6
alaska prepare historic level storm barrel coast,environment,10 year people refer september 2022 storm benchmark storm,https://www.huffpost.com/entry/bc-us-alaska-coastal-storm_n_6325f39fe4b0eac9f4e25cbc
puerto rico brace landslide severe flooding tropical storm fiona approach,environment,puerto rico hurricane watch saturday storm barrel u.s territory,https://www.huffpost.com/entry/tropical-storm-fiona-puerto-rico_n_6325d372e4b0ed021dfd719c
raise alarm disease flood hit area pakistan,world news,world health organization raise alarm second disaster wake deadly flood pakistan summer doctor medical worker ground race battle outbreak waterborne disease,https://www.huffpost.com/entry/bc-as-pakistan-floods_n_63260f56e4b027aa4066b0f6
privatization answer jackson water crisis,environment,study repeatedly show end public administration water supply work table mississippi,https://www.huffpost.com/entry/jackson-water-crisis-privatization_n_6324d6c2e4b0ed021dfd034f
german custom official follow trail slime find bag giant snail,weird news,history duesseldorf customs office trail slime lead smuggled good spokesman michael walk tell medium,https://www.huffpost.com/entry/african-land-snails-trail-of-slime-germany_n_63220b38e4b082746be5de74
amazon greenlight blade runner 2099 limited series produce ridley scott,entertainment,director original 1982 film join writer 2017 sequel new installment sci fi franchise,https://www.huffpost.com/entry/blade-runner-2099-series-announced_n_63247adfe4b027aa40656cc0
bill help afghans escape taliban face long odd senate,politic,republican outrage shoddy u.s withdrawal afghanistan spur support resettle refugee,https://www.huffpost.com/entry/afghan-adjustment-act-congress_n_6324ad6ee4b027aa4065ebef
alabama sidestep compensation survivor 63 kkk blast,u.s news,sarah collins rudolph lose eye piece glass inside body ku klux klan bombing kill sister black girl inside alabama church 59 year ago,https://www.huffpost.com/entry/birmingham-church-bombing_n_63245122e4b027aa4064f978
racism see root water crisis mississippi capital,u.s news,boil water advisory lift mississippi capital state stop hand free bottled water saturday,https://www.huffpost.com/entry/bc-us-water-woes-mississippi-racism_n_6324b8c1e4b046aa023f398e
phantom opera close broadway year,entertainment,phantom opera broadway long run schedule close february 2023 victim post pandemic softening theater attendance new york,https://www.huffpost.com/entry/the-phantom-of-the-opera-to-close-on-broadway-next-year_n_6324ef40e4b082746bea3ce3
mark meadow complie justice dept subpoena report,politic,white house chief staff turn record federal investigation jan 6 2021 assault capitol,https://www.huffpost.com/entry/capitol-riot-investigation-mark-meadows_n_63235733e4b000d988594a5d
meet alex aster tiktoker change publishing industry well,culture art,colombian american author new book lightlark reject numerous time go directly reader support,https://www.huffpost.com/entry/alex-aster-lightlark-culture-shifters_n_630d2145e4b065bfc4b12692
chick fil worker save woman baby carjack,u.s news,mykel gordon rush woman aid hold assailant police arrive remarkably time gordon save life,https://www.huffpost.com/entry/chick-fil-a-worker-florida-carjacking_n_63232e7ee4b0ed021dfa4d15
viola davis fear heart attack woman king training,entertainment,oscar winner say work hour day role new action movie,https://www.huffpost.com/entry/viola-davis-woman-king-heart-attack_n_6322f795e4b000d988585229
kim kardashian boyfriend biochemist,entertainment,reality star tell james corden branch clearly work,https://www.huffpost.com/entry/kim-kardashian-biochemist-james-corden_n_63232a26e4b0ed021dfa43b2
podcaster offer $ 100k reward information 2pac killer,entertainment,las vegas podcaster hope find shoot rap icon 26 year ago,https://www.huffpost.com/entry/podcasters-offer-100k-reward-for-info-on-2pacs-killers_n_63235716e4b046aa023d0e5d
"cardi b donate $ 100,000 old middle school bronx",entertainment,grammy win rapper surprise star strike child alexander macomb school morris height announcement,https://www.huffpost.com/entry/cardi-b-bronx-school-donation_n_6321cab4e4b046aa023a875c
bill richardson visit moscow brittney griner paul whelan remain jailed,world news,richardson u.s ambassador united nations frequent emissary hostage negotiation hold meeting russian leader,https://www.huffpost.com/entry/bill-richardson-russia_n_6321a027e4b0eac9f4dcaef1
